"vehicle","colour","passing.distance","street","helmet","kerb","bikelane","city","time"
"ordinary car","blue",2.114,"regular urban street","no",0.5,"no","Salisbury","2006-05-10 16:30:00"
"HGV","red",0.998,"regular urban street","no",0.5,"no","Salisbury","2006-05-10 16:30:00"
"LGV/minibus","blue",1.817,"regular urban street","no",0.5,"no","Salisbury","2006-05-10 16:30:00"
"ordinary car","unknown",1.64,"regular urban street","no",0.5,"no","Salisbury","2006-05-10 16:30:00"
"bus","other",1.544,"regular urban street","no",0.5,"no","Salisbury","2006-05-10 16:30:00"
"ordinary car","sliver/grey",1.509,"regular urban street","no",0.5,"no","Salisbury","2006-05-10 16:30:00"
"LGV/minibus","white",1.29,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","red",1.512,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"bus","red",1.049,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"PTW","unknown",1.932,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"LGV/minibus","white",1.145,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"SUV/pickup","white",1.41,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","blue",1.428,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","blue",1.494,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","blue",1.57,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"LGV/minibus","white",2.103,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","red",0.896,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"LGV/minibus","white",1.16,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","sliver/grey",1.29,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","white",1.963,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","sliver/grey",2.436,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","red",2.304,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","black",1.482,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"LGV/minibus","white",1.492,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","blue",1.432,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","green",1.504,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"PTW","unknown",1.046,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","red",1.306,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"taxi","sliver/grey",1.15,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","blue",1.43,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"LGV/minibus","white",1.569,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","sliver/grey",1.796,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","black",1.51,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"LGV/minibus","white",1.493,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","blue",1.261,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"PTW","unknown",1.363,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","red",1.242,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","sliver/grey",1.105,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"SUV/pickup","sliver/grey",1.548,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"LGV/minibus","white",1.178,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"LGV/minibus","white",1.742,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"LGV/minibus","red",1.87,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"HGV","white",1.134,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"HGV","green",0.794,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"HGV","other",1.016,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"LGV/minibus","blue",0.973,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"LGV/minibus","black",1.186,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","red",1.549,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","blue",1.172,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","red",1.307,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","white",1.469,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","black",1.651,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"LGV/minibus","white",0.916,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","blue",1.408,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","white",1.34,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","red",1.39,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","sliver/grey",1.265,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","green",1.44,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","red",1.451,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","red",0.905,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"HGV","white",1.165,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","blue",1.118,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","sliver/grey",1.463,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","blue",1.415,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","red",0.809,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","blue",1.335,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","blue",1.656,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"LGV/minibus","red",1.228,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"SUV/pickup","black",1.741,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","blue",1.488,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","blue",1.465,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:14:00"
"ordinary car","blue",1.611,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:14:00"
"SUV/pickup","black",1.716,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:14:00"
"ordinary car","blue",1.951,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:14:00"
"ordinary car","red",1.382,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:14:00"
"LGV/minibus","white",0.914,"one-way (two lanes)","yes",1,"no","Salisbury","2006-05-11 08:14:00"
"ordinary car","red",0.943,"one-way (two lanes)","yes",1,"no","Salisbury","2006-05-11 08:14:00"
"ordinary car","red",2.115,"one-way (two lanes)","yes",1,"no","Salisbury","2006-05-11 08:14:00"
"taxi","black",1.564,"one-way (two lanes)","yes",1,"no","Salisbury","2006-05-11 08:14:00"
"LGV/minibus","sliver/grey",1.33,"regular urban street","yes",1,"no","Salisbury","2006-05-11 08:14:00"
"ordinary car","white",1.469,"regular urban street","yes",1,"no","Salisbury","2006-05-11 08:14:00"
"PTW","other",1.819,"regular urban street","yes",1,"no","Salisbury","2006-05-11 08:14:00"
"LGV/minibus","white",1.343,"regular urban street","yes",1,"no","Salisbury","2006-05-11 08:14:00"
"LGV/minibus","blue",1.292,"regular urban street","no",1,"no","Salisbury","2006-05-11 08:27:00"
"ordinary car","blue",1.818,"regular urban street","no",1,"no","Salisbury","2006-05-11 08:27:00"
"ordinary car","sliver/grey",1.58,"regular urban street","no",1,"no","Salisbury","2006-05-11 08:27:00"
"ordinary car","black",1.688,"regular urban street","no",1,"no","Salisbury","2006-05-11 08:27:00"
"LGV/minibus","white",1.289,"regular urban street","no",1,"no","Salisbury","2006-05-11 08:27:00"
"LGV/minibus","blue",1.479,"regular urban street","no",1,"no","Salisbury","2006-05-11 08:27:00"
"HGV","white",1.105,"regular urban street","no",1,"no","Salisbury","2006-05-11 08:27:00"
"LGV/minibus","white",2.073,"regular residential street","no",1,"no","Salisbury","2006-05-11 08:27:00"
"LGV/minibus","white",1.408,"regular residential street","no",1,"no","Salisbury","2006-05-11 08:27:00"
"LGV/minibus","white",1.504,"regular residential street","no",1,"no","Salisbury","2006-05-11 08:27:00"
"ordinary car","blue",1.163,"main road, regular","no",1,"no","Salisbury","2006-05-11 08:27:00"
"ordinary car","blue",1.023,"main road, regular","no",1,"no","Salisbury","2006-05-11 08:27:00"
"ordinary car","sliver/grey",1.166,"main road, regular","no",1,"no","Salisbury","2006-05-11 08:27:00"
"LGV/minibus","white",1.125,"main road, regular","no",1,"no","Salisbury","2006-05-11 08:27:00"
"ordinary car","blue",0.912,"main road, regular","no",1,"no","Salisbury","2006-05-11 08:27:00"
"ordinary car","sliver/grey",1.319,"main road, regular","no",1,"no","Salisbury","2006-05-11 08:27:00"
"ordinary car","blue",1.157,"main road, regular","no",1,"no","Salisbury","2006-05-11 08:27:00"
"ordinary car","green",1.913,"main road, regular","no",1,"no","Salisbury","2006-05-11 08:27:00"
"ordinary car","green",1.428,"main road, regular","no",1,"no","Salisbury","2006-05-11 08:27:00"
"HGV","other",1.354,"main road, regular","no",1,"no","Salisbury","2006-05-11 08:27:00"
"HGV","green",1.382,"main road, regular","no",1,"no","Salisbury","2006-05-11 08:27:00"
"ordinary car","red",1.23,"main road, regular","no",1,"no","Salisbury","2006-05-11 08:27:00"
"ordinary car","blue",1.863,"main road, regular","no",1,"no","Salisbury","2006-05-11 08:27:00"
"ordinary car","blue",1.613,"regular urban street","no",1,"no","Salisbury","2006-05-11 09:16:00"
"LGV/minibus","white",1.393,"regular urban street","no",1,"no","Salisbury","2006-05-11 09:16:00"
"ordinary car","blue",1.363,"one-way (one lane)","no",1,"no","Salisbury","2006-05-11 09:16:00"
"LGV/minibus","red",1.513,"one-way (one lane)","no",1,"no","Salisbury","2006-05-11 09:16:00"
"HGV","blue",1.595,"one-way (two lanes)","no",1,"no","Salisbury","2006-05-11 09:16:00"
"ordinary car","red",1.979,"one-way (two lanes)","no",1,"no","Salisbury","2006-05-11 09:16:00"
"ordinary car","blue",1.815,"one-way (two lanes)","no",1,"no","Salisbury","2006-05-11 09:16:00"
"ordinary car","black",1.583,"one-way (two lanes)","no",1,"no","Salisbury","2006-05-11 09:16:00"
"LGV/minibus","sliver/grey",1.029,"regular urban street","no",1,"no","Salisbury","2006-05-11 09:16:00"
"ordinary car","sliver/grey",1.355,"regular urban street","no",1,"no","Salisbury","2006-05-11 09:16:00"
"taxi","red",1.267,"regular urban street","no",1,"no","Salisbury","2006-05-11 09:16:00"
"ordinary car","red",1.218,"regular urban street","no",1,"no","Salisbury","2006-05-11 09:16:00"
"ordinary car","black",1.738,"regular urban street","no",1,"no","Salisbury","2006-05-11 09:16:00"
"LGV/minibus","red",1.146,"regular urban street","no",1,"no","Salisbury","2006-05-11 09:16:00"
"ordinary car","sliver/grey",1.556,"regular urban street","no",1,"no","Salisbury","2006-05-11 09:16:00"
"ordinary car","white",1.2,"regular urban street","no",1,"no","Salisbury","2006-05-11 09:16:00"
"ordinary car","blue",1.369,"regular urban street","no",1,"no","Salisbury","2006-05-11 09:16:00"
"LGV/minibus","blue",1.821,"regular urban street","no",1,"no","Salisbury","2006-05-11 09:16:00"
"LGV/minibus","sliver/grey",0.914,"regular residential street","no",1,"no","Salisbury","2006-05-11 09:32:00"
"ordinary car","sliver/grey",1.529,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"PTW","blue",2.397,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"ordinary car","sliver/grey",1.617,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"ordinary car","blue",1.229,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"ordinary car","sliver/grey",1.365,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"HGV","other",1.395,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"LGV/minibus","white",1.535,"regular residential street","no",1,"no","Salisbury","2006-05-11 09:32:00"
"ordinary car","sliver/grey",1.62,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"ordinary car","blue",2.195,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"SUV/pickup","sliver/grey",1.352,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"ordinary car","sliver/grey",1.081,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"ordinary car","other",1.552,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"ordinary car","blue",2.108,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"SUV/pickup","black",1.968,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"LGV/minibus","blue",1.604,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"ordinary car","sliver/grey",1.574,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"ordinary car","green",1.483,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"ordinary car","white",1.455,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"ordinary car","sliver/grey",1.522,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"ordinary car","red",1.495,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"ordinary car","red",1.341,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"ordinary car","blue",1.46,"main road, regular","no",1,"no","Salisbury","2006-05-11 09:32:00"
"ordinary car","sliver/grey",1.012,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"LGV/minibus","white",1.184,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","sliver/grey",1.1,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","white",1.397,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","blue",1.554,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","sliver/grey",1.484,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","black",1.603,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","blue",1.308,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"SUV/pickup","blue",1.586,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"LGV/minibus","black",1.623,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"HGV","red",1.324,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"LGV/minibus","blue",1.425,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","sliver/grey",1.188,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","sliver/grey",1.455,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"LGV/minibus","white",2.032,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","blue",1.66,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","blue",1.305,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","black",1.333,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"LGV/minibus","white",1.212,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","blue",1.143,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"LGV/minibus","blue",1.196,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"LGV/minibus","white",1.459,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"SUV/pickup","black",1.728,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","sliver/grey",1.633,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"LGV/minibus","blue",1.207,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","sliver/grey",1.648,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","blue",1.769,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"taxi","red",2.011,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","sliver/grey",2.311,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","blue",1.315,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","black",1.658,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"SUV/pickup","sliver/grey",2.046,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","blue",1.701,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","blue",1.533,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:44:00"
"ordinary car","blue",2.124,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:52:00"
"SUV/pickup","blue",1.584,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:52:00"
"ordinary car","sliver/grey",1.094,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:52:00"
"ordinary car","blue",1.997,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:52:00"
"LGV/minibus","white",1.454,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:52:00"
"ordinary car","green",2.234,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:52:00"
"LGV/minibus","red",1.662,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:52:00"
"ordinary car","other",2.31,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:52:00"
"ordinary car","red",1.53,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:52:00"
"ordinary car","blue",1.629,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:52:00"
"LGV/minibus","blue",1.625,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:52:00"
"ordinary car","sliver/grey",1.632,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:52:00"
"taxi","sliver/grey",1.328,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:52:00"
"ordinary car","sliver/grey",1.932,"main road, regular","yes",1,"no","Salisbury","2006-05-11 09:52:00"
"ordinary car","blue",1.283,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"ordinary car","green",1.098,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"ordinary car","sliver/grey",1.192,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"ordinary car","black",1.253,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"SUV/pickup","other",1.112,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"ordinary car","red",1.303,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"LGV/minibus","blue",1.185,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"HGV","red",1.41,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"SUV/pickup","blue",1.829,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"ordinary car","sliver/grey",1.952,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"ordinary car","green",1.406,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"LGV/minibus","white",1.373,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"ordinary car","red",1.398,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"ordinary car","blue",1.92,"main road, regular","yes",1,"yes","Salisbury","2006-05-17 14:02:00"
"ordinary car","blue",2.164,"main road, regular","yes",1,"yes","Salisbury","2006-05-17 14:02:00"
"ordinary car","blue",1.779,"main road, regular","yes",1,"yes","Salisbury","2006-05-17 14:02:00"
"SUV/pickup","blue",1.666,"main road, regular","yes",1,"yes","Salisbury","2006-05-17 14:02:00"
"SUV/pickup","sliver/grey",2.114,"regular residential street","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"ordinary car","sliver/grey",1.331,"regular residential street","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"ordinary car","blue",1.459,"regular residential street","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"ordinary car","sliver/grey",1.571,"regular residential street","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"ordinary car","blue",1.973,"regular residential street","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"ordinary car","blue",1.765,"regular residential street","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"ordinary car","red",1.609,"rural","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"SUV/pickup","sliver/grey",1.423,"rural","yes",1,"no","Salisbury","2006-05-17 14:02:00"
"ordinary car","sliver/grey",1.338,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"LGV/minibus","white",1.905,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","green",2.073,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","blue",1.465,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"LGV/minibus","white",1.465,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","blue",1.565,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","black",1.456,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","blue",1.72,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","sliver/grey",1.353,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","sliver/grey",1.462,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"LGV/minibus","white",1.506,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","blue",1.251,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","black",1.428,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","blue",2.305,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"LGV/minibus","white",1.435,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","sliver/grey",1.765,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","blue",1.921,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"taxi","black",2.026,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"taxi","black",1.751,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"LGV/minibus","white",2.084,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","white",2.389,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"SUV/pickup","black",1.593,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","sliver/grey",1.786,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","sliver/grey",1.234,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","red",1.6,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","red",1.334,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","sliver/grey",1.223,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","red",1.619,"main road, regular","yes",1,"yes","Salisbury","2006-05-17 14:25:00"
"ordinary car","blue",1.416,"regular residential street","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","blue",1.152,"regular residential street","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"LGV/minibus","sliver/grey",1.591,"regular residential street","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"SUV/pickup","sliver/grey",1.981,"regular residential street","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"taxi","blue",1.355,"regular urban street","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","blue",0.702,"regular urban street","yes",1,"yes","Salisbury","2006-05-17 14:25:00"
"ordinary car","green",1.415,"regular urban street","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","blue",1.819,"regular urban street","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","red",1.424,"regular urban street","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"LGV/minibus","white",2.32,"regular urban street","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","sliver/grey",1.451,"regular urban street","yes",1,"no","Salisbury","2006-05-17 14:25:00"
"ordinary car","green",1.158,"regular urban street","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"taxi","blue",1.049,"regular urban street","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"ordinary car","sliver/grey",1.762,"regular urban street","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"ordinary car","sliver/grey",1.402,"regular urban street","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"ordinary car","blue",1.422,"regular urban street","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"ordinary car","black",1.542,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"ordinary car","red",1.691,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"ordinary car","black",1.434,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"ordinary car","sliver/grey",1.73,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"SUV/pickup","black",1.958,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"taxi","blue",1.709,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"LGV/minibus","red",1.363,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"HGV","sliver/grey",1.182,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"SUV/pickup","sliver/grey",1.433,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"ordinary car","green",1.524,"main road, regular","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"ordinary car","green",2.385,"regular urban street","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"ordinary car","black",0.948,"regular urban street","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"ordinary car","other",1.67,"regular residential street","yes",1,"no","Salisbury","2006-05-17 14:37:00"
"SUV/pickup","black",1.664,"regular urban street","no",0.25,"no","Salisbury","2006-05-19 15:20:00"
"ordinary car","blue",1.529,"regular urban street","no",0.25,"no","Salisbury","2006-05-19 15:20:00"
"ordinary car","white",1.223,"regular urban street","no",0.25,"no","Salisbury","2006-05-19 15:20:00"
"ordinary car","blue",1.249,"one-way (one lane)","no",0.25,"no","Salisbury","2006-05-19 15:20:00"
